WORDS;PREV;ACC;PRE;REV;F1;ESP;EFC
0.00;1.00;0.75;1.00;0.75;0.86;0.00;0.38
0.01;0.80;0.80;1.00;0.75;0.86;1.00;0.88
0.01;0.80;1.00;1.00;1.00;1.00;1.00;1.00
0.03;1.00;0.50;1.00;0.50;0.67;0.00;0.25
0.05;0.71;0.86;1.00;0.80;0.89;1.00;0.90
0.05;0.67;0.78;1.00;0.67;0.80;1.00;0.83
0.05;0.86;0.43;1.00;0.33;0.50;1.00;0.67
0.05;0.56;0.67;1.00;0.40;0.57;1.00;0.70
0.06;0.57;1.00;1.00;1.00;1.00;1.00;1.00
0.07;0.63;0.88;1.00;0.80;0.89;1.00;0.90
0.07;0.80;0.60;1.00;0.50;0.67;1.00;0.75
0.07;0.63;0.75;1.00;0.60;0.75;1.00;0.80
0.07;0.64;0.64;0.71;0.71;0.71;0.50;0.61
0.08;0.92;0.33;1.00;0.27;0.43;1.00;0.64
0.08;0.73;0.64;0.83;0.63;0.71;0.67;0.65
0.09;0.70;0.70;1.00;0.57;0.73;1.00;0.79
0.11;0.73;0.64;1.00;0.50;0.67;1.00;0.75
0.11;0.78;0.89;1.00;0.86;0.92;1.00;0.93
0.12;0.78;0.56;1.00;0.43;0.60;1.00;0.71
0.12;0.73;0.67;0.88;0.64;0.74;0.75;0.69
0.12;0.83;0.44;1.00;0.33;0.50;1.00;0.67
0.13;0.77;0.77;0.89;0.80;0.84;0.67;0.73
0.14;0.73;0.47;0.80;0.36;0.50;0.75;0.56
0.15;0.67;0.53;1.00;0.30;0.46;1.00;0.65
0.15;0.79;0.71;1.00;0.64;0.78;1.00;0.82
0.15;0.86;0.79;1.00;0.75;0.86;1.00;0.88
0.15;0.58;0.75;0.83;0.71;0.77;0.80;0.76
0.16;0.75;0.75;0.88;0.78;0.82;0.67;0.72
0.16;0.67;0.67;0.78;0.70;0.74;0.60;0.65
0.17;0.79;0.93;1.00;0.91;0.95;1.00;0.95
0.17;0.72;0.72;1.00;0.62;0.76;1.00;0.81
0.17;0.76;0.59;1.00;0.46;0.63;1.00;0.73
0.17;0.73;0.60;0.86;0.55;0.67;0.75;0.65
0.18;0.71;0.71;0.89;0.67;0.76;0.80;0.73
0.18;0.72;0.33;0.60;0.23;0.33;0.60;0.42
0.19;0.79;0.57;0.78;0.64;0.70;0.33;0.48
0.20;0.88;0.63;0.90;0.64;0.75;0.50;0.57
0.21;0.89;0.68;1.00;0.65;0.79;1.00;0.82
0.21;0.83;0.61;1.00;0.53;0.69;1.00;0.76
0.22;1.00;0.41;1.00;0.41;0.58;0.00;0.21
0.24;0.67;0.57;0.73;0.57;0.64;0.57;0.57
0.24;0.81;0.62;1.00;0.53;0.69;1.00;0.76
0.25;0.80;0.60;1.00;0.50;0.67;1.00;0.75
0.25;0.70;0.60;1.00;0.43;0.60;1.00;0.71
0.27;0.74;0.55;0.85;0.48;0.61;0.75;0.61
0.28;0.78;0.78;1.00;0.71;0.83;1.00;0.86
0.30;0.60;0.50;0.67;0.33;0.44;0.75;0.54
0.33;0.70;0.35;0.60;0.21;0.32;0.67;0.44
0.42;0.64;0.88;0.84;1.00;0.91;0.67;0.83
0.71;0.81;0.46;0.86;0.40;0.55;0.71;0.56
0.74;0.58;0.50;0.63;0.36;0.45;0.70;0.53
0.83;0.83;0.68;0.96;0.64;0.77;0.88;0.76
1.00;0.78;0.51;0.92;0.41;0.56;0.87;0.64
